ts,open,high,low,close,n_obs,source,quality,xcheck_spread_bps,xcheck_sources
2021-01-26 03:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 04:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 05:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 06:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 07:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 08:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 09:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 10:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 11:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 12:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 13:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 14:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 15:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 16:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 17:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 18:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 19:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 20:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 21:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 22:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-26 23:00:00+00:00,0.9998,1.00008,0.99938,1.00003,1,bitstamp,fallback,,0.0
2021-01-27 00:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 01:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 02:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 03:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 04:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 05:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 06:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 07:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 08:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 09:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 10:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 11:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 12:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 13:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 14:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 15:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 16:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 17:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 18:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 19:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 20:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 21:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 22:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-27 23:00:00+00:00,1.00001,1.0071,0.99895,0.99989,1,bitstamp,fallback,,0.0
2021-01-28 00:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 01:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 02:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 03:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 04:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 05:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 06:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 07:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 08:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 09:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 10:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 11:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 12:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 13:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 14:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 15:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 16:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 17:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 18:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 19:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 20:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 21:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 22:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-28 23:00:00+00:00,0.99991,1.00095,0.99989,1.00057,1,bitstamp,fallback,,0.0
2021-01-29 00:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 01:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 02:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 03:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 04:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 05:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 06:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 07:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 08:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 09:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 10:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 11:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 12:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 13:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 14:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 15:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 16:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 17:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 18:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 19:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 20:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 21:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 22:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-29 23:00:00+00:00,1.00061,1.00065,0.99996,1.00026,1,bitstamp,fallback,,0.0
2021-01-30 00:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 01:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 02:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 03:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 04:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 05:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 06:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 07:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 08:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 09:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 10:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 11:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 12:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 13:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 14:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 15:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 16:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 17:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 18:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 19:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 20:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 21:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 22:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-30 23:00:00+00:00,1.00026,1.00085,0.99745,1.0,1,bitstamp,fallback,,0.0
2021-01-31 00:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 01:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 02:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 03:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 04:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 05:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 06:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 07:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 08:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 09:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 10:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 11:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 12:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 13:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 14:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 15:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 16:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 17:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 18:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 19:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 20:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 21:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 22:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-01-31 23:00:00+00:00,0.99992,1.00024,0.9999,0.99992,1,bitstamp,fallback,,0.0
2021-02-01 00:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 01:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 02:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 03:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 04:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 05:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 06:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 07:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 08:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 09:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 10:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 11:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 12:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 13:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 14:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 15:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 16:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 17:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 18:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 19:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 20:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 21:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 22:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-01 23:00:00+00:00,0.99992,1.0002,0.99595,0.99998,1,bitstamp,fallback,,0.0
2021-02-02 00:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 01:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 02:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 03:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 04:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 05:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 06:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 07:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 08:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 09:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 10:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 11:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 12:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 13:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 14:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 15:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 16:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 17:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 18:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 19:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 20:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 21:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 22:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-02 23:00:00+00:00,0.99998,1.0002,0.99947,1.00016,1,bitstamp,fallback,,0.0
2021-02-03 00:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 01:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 02:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 03:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 04:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 05:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 06:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 07:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 08:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 09:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 10:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 11:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 12:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 13:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 14:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 15:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 16:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 17:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 18:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 19:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 20:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 21:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 22:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-03 23:00:00+00:00,1.00015,1.0002,0.99895,0.99961,1,bitstamp,fallback,,0.0
2021-02-04 00:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 01:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 02:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 03:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 04:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 05:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 06:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 07:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 08:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 09:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 10:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 11:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 12:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 13:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 14:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 15:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 16:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
2021-02-04 17:00:00+00:00,1.00005,1.0002,0.99897,1.00018,1,bitstamp,fallback,,0.0
